audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments
matching_annotaudio_Aditya_2018-08-20_0200-0300_71,0.32,0.2816,R,55,0.035,0.059,24.25,0.259,0.272,
matching_annotaudio_Aditya_2018-08-20_0200-0300_72,0.49,0.4508,L,60,0.468,0.502,26.71,0.641,0.653,Not sure if there is a little interference.
matching_annotaudio_Aditya_2018-08-20_0200-0300_73,0.23,0.4048,R,55,0.028,0.048,21.07,0.081,0.093,
matching_annotaudio_Aditya_2018-08-20_0200-0300_76,0.46,1.0488,R,70,0.354,0.379,23.02,0.387,0.395,
matching_annotaudio_Aditya_2018-08-20_0200-0300_78,0.51,0.612,L,75,0.247,0.273,25.11,0.019,0.025,
matching_annotaudio_Aditya_2018-08-20_0200-0300_79,0.56,0.224,R,50,0.227,0.248,20.34,0.196,0.202,
matching_annotaudio_Aditya_2018-08-20_0200-0300_80,0.6,0.864,L,45,0.13,0.156,28.71,0.222,0.225,
matching_annotaudio_Aditya_2018-08-20_0200-0300_88,0.7,0.448,L,40,0.012,0.038,27.76,0.006,0.01,
matching_annotaudio_Aditya_2018-08-20_0200-0300_90,0.02,0.0184,L,60,0.029,0.05,20.09,0.022,0.027,
matching_annotaudio_Aditya_2018-08-20_0200-0300_91,0.55,NA,L,NA,NA,NA,NA,NA,NA,There is only one bat in the cave. However overlapping HSb calls since succeeding this is a 2 bat situation
matching_annotaudio_Aditya_2018-08-20_0200-0300_92,0.53,3.6464,R,55,1.974,1.988,27.66,1.992,1.995,
matching_annotaudio_Aditya_2018-08-20_0200-0300_95,0.21,NA,R,NA,NA,NA,NA,NA,NA,HSB calls at 80kHz
